,artist,count,year
882,DJ Jazzy Jeff and The Fresh Prince,1,1991
883,The Sandpipers,1,1970
884,Toby Keith,1,2002
885,Lisa Loeb and Nine Stories,1,1994
886,Keri Hilson,2,2009
887,Rod Stewart,1,1971
888,Bryan Adams,1,1983
889,Chic,1,1978
890,Dino,1,1990
891,Kenny Loggins,1,1986
892,Mike WiLL Made-It,1,2014
893,Ginuwine,1,1999
894,Maroon 5,3,2013
895,Andy Williams,1,1971
896,Dido,1,2001
897,Cheap Trick,1,1979
898,Matthews Southern Comfort,1,1971
899,P.M. Dawn,2,1992
900,B-Rock and the Bizz,1,1997
901,Chingy,1,2003
902,Zhane,1,1994
903,Brenda and the Tabulations,1,1971
904,LFO,1,2000
905,James Brown,1,1972
906,Champaign,1,1983
907,Champaign,1,1981
908,R. Kelly,2,2007
909,Paul Revere and the Raiders,1,1971
910,The Hues Corporation,1,1974
911,Joe Cocker,1,1983
912,Jay Ferguson,1,1978
913,Asher Roth,1,2009
914,Gary Wright,2,1976
915,Adina Howard,1,1995
916,Kardinal Offishall,1,2008
917,ZZ Top,1,1986
918,Three Dog Night,1,1970
919,Calvin Harris,2,2013
920,Asia,1,1982
921,Katy Perry,3,2014
922,Enrique Iglesias,1,2000
923,La Roux,1,2010
924,Fuel,1,2001
925,Donny,1,1976
926,Miranda Lambert,1,2014
927,Xscape,2,1994
928,The Beach Boys,1,1976
929,Crazy Town,1,2001
930,The Police,1,1982
931,Fine Young Cannibals,2,1989
932,Jay-Z,2,2001
933,Christine McVie,1,1984
934,Sara Bareilles,1,2010
935,Passenger,1,2013
936,Jesse Powell,1,1999
937,Robert Palmer,2,1986
938,Salt-n-Pepa,2,1994
939,Lee Michaels,1,1971
940,Chris de Burgh,1,1987
941,Queen Latifah,1,1994
942,Marmalade,1,1970
943,Bobby Valentino,1,2005
944,Gin Blossoms,1,1994
945,Madonna,1,2000
946,Jodeci,1,1993
947,Kiss,1,1979
948,Jessie J,1,2011
949,Randy VanWarmer,1,1979
950,Flo Rida,3,2012
951,Europe,1,1987
952,Phillip Phillips,1,2012
953,Alanis Morissette,2,1996
954,The Chi-Lites,1,1972
955,LL Cool J,1,2002
956,Soul Asylum,1,1993
957,Joan Baez,1,1971
958,George Harrison,1,1988
959,Avant,1,2004
960,The First Class,1,1974
961,Paul Davis,2,1982
962,Silk,1,1993
963,The Pointer Sisters,1,1973
964,Red Hot Chili Peppers,1,2006
965,Chris Isaak,1,1991
966,Shakespears Sister,1,1992
967,Debbie Gibson,1,1987
968,Quiet Riot,1,1984
969,Keith Carradine,1,1976
970,Nelson,1,1990
971,Arlo Guthrie,1,1972
972,Mase,3,1998
973,Tim McGraw,1,2000
974,Mariah Carey,3,1992
975,Katy Perry,2,2008
976,Coldplay,1,2005
977,Phil Collins,1,1984
978,Busta Rhymes,2,1998
979,Pussycat Dolls,1,2008
980,REO Speedwagon,1,1982
981,Jay-Z,1,2010
982,Lionel Richie,4,1984
983,Ciara,1,2013
984,Extreme,2,1991
985,112,2,2001
986,Prince,1,1985
987,Wild Cherry,1,1976
988,Tim McGraw,1,1999
989,Darius Rucker,1,2013
990,Rufus,1,1975
991,Stevie Nicks,1,1986
992,Stevie Wonder,1,1971
993,Burton Cummings,1,1977
994,Eagle-Eye Cherry,1,1999
995,38 Special,1,1989
996,Natasha Bedingfield,2,2008
997,Barry Manilow,1,1981
998,Fastball,1,1999
999,Justin Bieber,1,2013
1000,Rick Springfield,1,1981
1001,El DeBarge,1,1986
1002,T.I.,2,2009
1003,Ciara,1,2006
1004,2Pac,1,1998
1005,Justin Bieber,1,2010
1006,Tommy James,1,1971
1007,Paula Cole,1,1997
1008,DJ Snake,1,2014
1009,Jason Mraz,1,2012
1010,KC and the Sunshine Band,1,1984
1011,Maroon 5,1,2007
1012,Simply Red,1,1986
1013,Bubba Sparxxx,1,2006
1014,Sonny and Cher,1,1972
1015,Sheryl Crow,1,1996
1016,INOJ,2,1998
1017,Rod Stewart,1,1984
1018,Ike and Tina Turner,1,1971
1019,Kenny Loggins,1,1984
1020,High Inergy,1,1978
1021,Bread,1,1970
1022,Whitney Houston,2,1996
1023,Stevie Wonder,1,1970
1024,Donna Summer,2,1980
1025,Stevie Wonder,2,1974
1026,Monica,1,2003
1027,Michael Jackson,5,1983
1028,Al Green,1,1975
1029,Dionne Farris,1,1995
1030,Blondie,2,1981
1031,Carl Thomas,1,2000
1032,Busta Rhymes,1,2002
1033,Corey Hart,1,1984
1034,Ocean,1,1971
1035,Vicki Lawrence,1,1973
1036,D12,1,2004
1037,Sister Hazel,1,1998
1038,Shakira,2,2002
1039,DJ Jazzy Jeff and The Fresh Prince,1,1993
1040,Linkin Park,1,2009
1041,Collective Soul,1,1994
1042,Bobby Brown,1,1993
1043,Kenny Loggins,1,1983
1044,Lupe Fiasco,1,2008
1045,Sean Kingston,1,2009
1046,Barry Manilow,2,1976
1047,Dr. Dre,2,1993
1048,Glenn Medeiros,1,1987
1049,Harold Faltermeyer,1,1985
1050,Tears for Fears,1,1989
1051,Billy Ray Cyrus,1,1992
1052,M.I.A.,1,2008
1053,Mark Wills,1,2003
1054,David Ruffin,1,1976
1055,Eminem,2,2006
1056,Joe Walsh,1,1980
1057,Marky Mark and the Funky Bunch,1,1991
1058,Kim Wilde,1,1982
1059,James Ingram,1,1984
1060,J. Holiday,1,2007
1061,Miranda Lambert,1,2010
1062,Red Hot Chili Peppers,1,2007
1063,Diddy – Dirty Money,1,2011
1064,Kool and The Gang,1,1984
1065,Paula DeAnda,1,2007
1066,beyonce,4,2009
1067,Nelly Furtado,1,2007
1068,The LOX,1,1998
1069,Sugarloaf,1,1970
1070,JoJo,1,2004
1071,Mr. President,1,1997
1072,Coldplay,1,2009
1073,Billy Paul,1,1973
1074,Paramore,1,2013
1075,Third Eye Blind,2,1998
1076,Gym Class Heroes,1,2007
1077,Jim Croce,1,1973
1078,Melissa Etheridge,1,1995
1079,Howard Jones,1,1985
1080,The 5th Dimension,1,1972
1081,Mary J. Blige,1,2001
1082,3 Doors Down,2,2001
1083,Paul McCartney and Wings,3,1974
1084,Mariah Carey,1,2000
1085,Tony Orlando and Dawn,1,1971
1086,Bobby Sherman,2,1970
1087,Mariah Carey,2,1990
1088,Kenny Rogers,1,1970
1089,Jon B.,1,1998
1090,Charlene,1,1982
1091,Drake,1,2013
1092,Three Dog Night,2,1971
1093,Aaliyah,2,2002
1094,Cher,1,1972
1095,Glenn Frey,2,1985
1096,R. Kelly,3,1996
1097,Mint Condition,1,1992
1098,Kool and the Gang,1,1987
1099,Method Man,1,1995
1100,Eternal,1,1994
1101,The Whispers,1,1987
1102,Kenny G,1,1993
1103,Jennifer Warnes,1,1977
1104,Def Leppard,1,1983
1105,Coldplay,1,2012
1106,Tyrese,1,2003
1107,Gordon Lightfoot,1,1971
1108,PSY,1,2013
1109,U2,2,1992
1110,Great White,1,1989
1111,The J. Geils Band,2,1982
1112,Baby Bash,1,2007
1113,Bobby Goldsboro,1,1971
1114,Kenny Nolan,2,1977
1115,Lou Rawls,1,1976
1116,Tina Turner,1,1984
1117,Toni Braxton,2,1994
1118,Sly and the Family Stone,1,1972
1119,"Grover Washington, Jr.",1,1981
1120,Foster the People,1,2011
1121,T.I.,1,2008
1122,Willie Nelson,1,1982
1123,JT Money,1,1999
1124,Rita Coolidge,1,1977
1125,Christina Aguilera,1,1999
1126,Sheryl Crow,2,1995
1127,Peabo Bryson,1,1984
1128,Genesis,2,1986
1129,Moby,1,2001
1130,Thelma Houston,1,1977
1131,The Bellamy Brothers,1,1976
1132,Rick Springfield,1,1983
1133,The Carpenters,1,1974
1134,Cher,1,1971
1135,Andy Gibb,1,1977
1136,Raydio,1,1978
1137,Waka Flocka Flame,1,2011
1138,2Pac,1,1996
1139,Brandy,2,1999
1140,Edwin Starr,1,1970
1141,Lil Wayne,3,2011
1142,Barbra Streisand,3,1981
1143,Cee Lo Green,1,2011
1144,Christie,1,1970
1145,The Proclaimers,1,1993
1146,Naughty by Nature,1,1993
1147,Dave Loggins,1,1974
1148,Diana Ross,1,1985
1149,Barbra Streisand,1,1997
1150,Sean Kingston,1,2010
1151,Sheena Easton,1,1982
1152,Miley Cyrus,1,2009
1153,Nickelback,3,2007
1154,Frank Mills,1,1979
1155,Mo Thugs,1,1999
1156,Meco,1,1977
1157,Akon,1,2006
1158,Wyclef Jean,1,1998
1159,Outkast,1,1996
1160,James Taylor,1,1977
1161,Don Henley,1,1983
1162,Gino Vannelli,1,1979
1163,New Edition,1,1988
1164,Natalie Merchant,2,1996
1165,Rihanna,3,2007
1166,Goo Goo Dolls,1,1996
1167,Lil Wayne,4,2008
1168,KC and the Sunshine Band,2,1977
1169,LeBlanc,1,1978
1170,Eddie Rabbitt,1,1979
1171,Vanessa Williams,1,1989
1172,Nina Sky,1,2004
1173,Matchbox Twenty,1,2000
1174,Ylvis,1,2013
1175,Chicago,1,1972
1176,The Carpenters,2,1970
1177,Dixie Chicks,1,2000
1178,The B-52's,1,1989
1179,Bonnie Tyler,1,1978
1180,The Four Tops,1,1970
1181,Pink,3,2002
1182,Roberta Flack,1,1978
1183,Erykah Badu,1,2000
1184,Christina Aguilera,1,2006
1185,Whitney Houston,4,1999
1186,Isaac Hayes,1,1980
1187,The Rolling Stones,1,1973
1188,Jay Sean,2,2010
1189,Carly Rae Jepsen,1,2012
1190,Erasure,1,1994
1191,Natalie Cole,1,1978
1192,The Script,1,2011
1193,KT Tunstall,1,2006
1194,Jade,1,1995
1195,Fat Joe,2,2002
1196,Sarah McLachlan,1,1998
1197,Pink,3,2009
1198,The Heights,1,1993
1199,Blues Traveler,1,1995
1200,Kenny Chesney,1,2011
1201,John Cafferty and The Beaver Brown Band,1,1984
1202,Hootie and the Blowfish,2,1995
1203,Whitney Houston,2,1986
1204,Miami Sound Machine,3,1986
1205,The Free Movement,1,1971
1206,Alannah Myles,1,1990
1207,Men Without Hats,1,1983
1208,Luther Vandross,1,1990
1209,98 Degrees,1,2000
1210,George Harrison,1,1971
1211,Katy Perry,4,2011
1212,Steve Miller Band,2,1977
1213,Janet Jackson,1,1996
1214,K. P. and Envyi,1,1998
1215,Michael Jackson,2,1995
1216,Pearl Jam,1,1999
1217,Journey,1,1997
1218,Aerosmith,2,1990
1219,LL Cool J,1,1998
1220,Bo Donaldson and The Heywoods,1,1974
1221,George McCrae,1,1974
1222,Sweet,1,1976
1223,Bob Seger,1,1987
1224,Bad English,1,1990
1225,Bread,1,1972
1226,Ne-Yo,1,2007
1227,Mary MacGregor,1,1977
1228,Hootie and the Blowfish,3,1996
1229,Sweet,1,1973
1230,E-40,1,2006
1231,The Carpenters,1,1972
1232,Bob Seger,1,1980
1233,Phil Collins,1,1983
1234,Toad the Wet Sprocket,1,1992
1235,Ne-Yo,1,2013
1236,Nelly,2,2004
1237,Little River Band,2,1979
1238,Ace of Base,1,1993
1239,The Romantics,1,1984
1240,King Floyd,1,1971
1241,Alice Cooper,1,1989
1242,Frankie J,1,2005
1243,Kenny Loggins,1,1980
1244,Jesse McCartney,1,2009
1245,Guns N' Roses,1,1992
1246,Ja Rule,2,2001
1247,Blackstreet,1,1999
1248,Goo Goo Dolls,1,2002
1249,Nelly,2,2003
1250,The-Dream,1,2009
1251,Starship,1,1987
1252,Sean Paul,2,2006
1253,Rita Coolidge,1,1978
1254,The Wanted,1,2012
1255,John Lennon,1,1970
1256,3OH!3,1,2010
1257,Tone Lōc,2,1989
1258,Alabama,1,1981
1259,Gloria Gaynor,1,1979
1260,Taylor Swift,1,2009
1261,Cassie,1,2006
1262,Aaliyah,2,2000
1263,Aretha Franklin,1,1970
1264,The Carpenters,3,1971
1265,Duncan Sheik,1,1997
1266,Charley Pride,1,1972
1267,Lamont Dozier,1,1974
1268,B.J. Thomas,1,1975
1269,Naughty by Nature,1,1999
1270,War,1,1972
1271,Norah Jones,1,2003
1272,Joe Simon,1,1975
1273,Iggy Azalea,2,2014
1274,Michael Jackson,1,1979
1275,Katy Perry,1,2009
1276,R. Kelly,2,1997
1277,Jake Owen,1,2011
1278,Survivor,1,1986
1279,The Dramatics,1,1971
1280,Morris Albert,1,1975
1281,Colby O'Donis,1,2008
1282,The Beatles,2,1970
1283,Savage Garden,2,2000
1284,George Strait,1,2000
1285,2 Pistols,1,2008
1286,A'me Lorain,1,1990
1287,Steely Dan,2,1978
1288,Whitney Houston,3,1988
1289,Cameo,1,1986
1290,Stevie Wonder,2,1982
1291,Styx,2,1981
1292,Justin Timberlake,2,2003
1293,Donny,1,1974
1294,Dave Matthews Band,1,2001
1295,Pretty Ricky,1,2007
1296,Nena,1,1984
1297,David Bowie,1,1975
1298,Bazuka,1,1975
1299,Anne Murray,1,1979
1300,A Taste of Honey,1,1981
1301,Rick Astley,2,1988
1302,Trey Songz,1,2014
1303,Fancy,1,1974
1304,Neon Trees,1,2012
1305,Sugarland,1,2010
1306,Macy Gray,1,2000
1307,Little River Band,1,1980
1308,Chris Brown,1,2010
1309,Stephen Bishop,1,1977
1310,Ace Frehley,1,1979
1311,100 Proof (Aged in Soul),1,1970
1312,Luke Bryan,2,2012
1313,Richard Marx,3,1992
1314,SWV,3,1993
1315,Peabo Bryson,1,1993
1316,Katy Perry,1,2010
1317,LeAnn Rimes,1,2000
1318,Carol Douglas,1,1975
1319,Kelly Clarkson,1,2007
1320,Pacific Gas and Electric,1,1970
1321,Teddy Geiger,1,2006
1322,Heart,1,1977
1323,Brandy,2,2002
1324,Sailcat,1,1972
1325,702,1,1999
1326,Leif Garrett,1,1979
1327,Jennifer Lopez,1,2005
1328,Alicia Keys,1,2008
1329,The Ides of March,1,1970
1330,Rihanna,4,2011
1331,Supertramp,1,1979
1332,London Symphony Orchestra,1,1977
1333,Paula Abdul,3,1989
1334,Phoebe Snow,1,1975
1335,Hall and Oates,3,1981
1336,Elton John,1,1997
1337,Celine Dion,2,1992
1338,Run–D.M.C.,1,1986
1339,O-Town,1,2001
1340,Stealers Wheel,1,1973
1341,When in Rome,1,1989
1342,Bee Gees,2,1971
1343,Steve Miller Band,1,1974
1344,Dan Hill,1,1987
1345,Marvin Gaye,1,1983
1346,Madonna,1,2001
1347,Red Hot Chili Peppers,1,1999
1348,Flo Rida,2,2008
1349,Another Bad Creation,1,1991
1350,The Emotions,1,1977
1351,Toni Braxton,1,1996
1352,The Pretenders,1,1980
1353,Leo Sayer,3,1977
1354,Babyface,1,1997
1355,Tim McGraw,2,1994
1356,Kenny Rogers,1,1983
1357,Wings,1,1978
1358,Young Money,1,2009
1359,Foxy Brown,1,1997
1360,Billy Ocean,2,1986
1361,Mac Davis,1,1972
1362,Sting,1,2000
1363,Eminem,1,2013
1364,Deep Blue Something,1,1996
1365,B2K,1,2002
1366,Linda Ronstadt,2,1980
1367,Avril Lavigne,1,2003
1368,Tom Cochrane,1,1992
1369,John Cougar,1,1982
1370,The Main Ingredient,1,1974
1371,Captain Hollywood Project,1,1993
1372,Electric Light Orchestra,2,1979
1373,Young Jeezy,1,2007
1374,Orchestral Manoeuvres in the Dark,1,1986
1375,Aaron Neville,1,1991
1376,Glen Campbell,1,1976
1377,Will Smith,2,1999
1378,Albert Hammond,1,1973
1379,Van Halen,1,1979
1380,Tove Lo,1,2014
1381,Lil' Flip,2,2004
1382,Keith Sweat,1,1988
1383,Kandi,1,2000
1384,3T,1,1996
1385,Shai,3,1993
1386,The Jets,1,1986
1387,Berlin,1,1986
1388,Marvin Gaye,1,1977
1389,Dr. Hook,2,1976
1390,Duran Duran,3,1984
1391,Amy Grant,3,1992
1392,Atlanta Rhythm Section,1,1978
1393,Trick Daddy,1,2001
1394,Atlantic Starr,1,1986
1395,Justin Bieber,2,2012
1396,Lisa Loeb,1,1998
1397,U2,2,1987
1398,R.E.M.,1,1989
1399,Shaun Cassidy,1,1978
1400,Van Halen,1,1988
1401,Bette Midler,2,1973
1402,Jordin Sparks,3,2008
1403,Backstreet Boys,1,2000
1404,Daryl Hall and John Oates,3,1983
1405,Cher,1,1979
1406,Jason Mraz,1,2008
1407,Brooks and Dunn,1,2001
1408,Night Ranger,1,1985
1409,Whitesnake,1,1988
1410,Toni Braxton,1,1993
1411,KC and the Sunshine Band,1,1980
1412,The Charlie Daniels Band,1,1979
1413,Lil Wayne,1,2014
1414,98 Degrees,1,1997
1415,The Pipkins,1,1970
1416,Steve Perry,1,1984
1417,Stevie Wonder,2,1977
1418,Royal Philharmonic Orchestra,1,1982
1419,Bad Meets Evil,1,2011
1420,Tony Orlando and Dawn,2,1973
1421,The Black Eyed Peas,2,2011
1422,Amazing Rhythm Aces,1,1975
1423,Tyrese,1,1999
1424,Exile,1,1978
1425,Dionne Warwick,1,1970
1426,Atlanta Rhythm Section,1,1977
1427,Steve Miller Band,1,1976
1428,Billy Ocean,2,1985
1429,Ike and Tina Turner,1,1970
1430,John Parr,1,1985
1431,Jason Aldean,2,2011
1432,Florida Georgia Line,2,2013
1433,"Earth, Wind and Fire",1,1978
1434,Hot Chocolate,1,1979
1435,Chicago,1,1973
1436,Barry Manilow,2,1978
1437,Pitbull,2,2009
1438,Cher,1,1990
1439,Destiny's Child,1,1999
1440,Jody Watley,1,1987
1441,Taylor Swift,1,2007
1442,Jermaine Jackson,1,1985
1443,Eli Young Band,1,2012
1444,Jackson Browne,1,1982
1445,Huey Lewis and the News,1,1986
1446,Kool and the Gang,1,1981
1447,Ben E. King,1,1987
1448,Gilbert O'Sullivan,1,1972
1449,Metallica,1,1996
1450,Total,1,1997
1451,Blake Shelton,1,2001
1452,Missy Elliott,2,2001
1453,Tiffany,1,1988
1454,The Oak Ridge Boys,1,1981
1455,David Guetta,1,2010
1456,Tom Petty and the Heartbreakers,2,1980
1457,Sweet,1,1978
1458,The Jaggerz,1,1970
1459,Green Day,3,2005
1460,Paula Abdul,2,1991
1461,The Notorious B.I.G.,2,1997
1462,Jay-Z,1,2005
1463,Sara Bareilles,1,2008
1464,Clay Aiken,1,2003
1465,Randy Houser,1,2013
1466,Joe Cocker,1,1975
1467,Cheryl Lynn,1,1979
1468,Glass Tiger,1,1987
1469,Bruno Mars,1,2010
1470,Justin Timberlake,1,2014
1471,The Fray,2,2009
1472,Lady Gaga,1,2014
1473,TQ,1,1998
1474,Dean Friedman,1,1977
1475,Baauer,1,2013
1476,Maxine Nightingale,1,1979
1477,Kenny Rogers,3,1980
1478,Cat Stevens,1,1971
1479,Nelly Furtado,1,2001
1480,Christina Aguilera,1,2001
1481,Madonna,5,1985
1482,Miley Cyrus,2,2014
1483,Vanilla Ice,1,1990
1484,Akon,2,2009
1485,Disco-Tex and the Sex-O-Lettes,1,1975
1486,Commodores,1,1985
1487,Mario Winans,1,2004
1488,Donna Summer,1,1983
1489,Seal,1,1997
1490,Tevin Campbell,1,1992
1491,Kenny Rogers,2,1982
1492,Al Green,3,1972
1493,Spice Girls,3,1997
1494,Busta Rhymes,1,2003
1495,YoungBloodZ,1,2004
1496,Joan Jett and the Blackhearts,1,1988
1497,Tag Team,1,1994
1498,Blondie,1,1979
1499,New Edition,1,1997
1500,Busta Rhymes,1,2006
1501,Milli Vanilli,2,1990
1502,Paul Anka,2,1975
1503,Jimmy Castor Bunch,1,1972
1504,Big Tymers,1,2002
1505,TLC,3,1992
1506,Jethro Tull,1,1975
1507,Linda Ronstadt,2,1975
1508,Peter Cetera,1,1987
1509,Jagged Edge,1,2004
1510,3 Doors Down,1,2005
1511,Pure Prairie League,1,1980
1512,Paul Carrack,1,1988
1513,Phil Collins,1,1994
1514,Mary J. Blige,1,1992
1515,Mýa,1,2003
1516,Van McCoy,1,1975
1517,Ariana Grande,2,2014
1518,Dire Straits,1,1985
1519,U2,1,2001
1520,Gary Wright,1,1981
1521,Santana,1,2000
1522,Lauryn Hill,2,1999
1523,Houston,1,2004
1524,Christopher Cross,1,1982
1525,The Delfonics,1,1970
1526,The Greg Kihn Band,1,1983
1527,5 Seconds of Summer,2,2014
1528,Barry White,1,1973
1529,The Human League,1,1983
1530,Celine Dion,1,1994
1531,Subway,1,1995
1532,Ronnie Dyson,1,1970
1533,Monica,1,1997
1534,Deniece Williams,1,1982
1535,Ashlee Simpson,1,2004
1536,Bruce Springsteen,2,1984
1537,Bob Seger and The Silver Bullet Band,1,1979
1538,Chris Rea,1,1978
1539,John Lennon,1,1984
1540,Havana Brown,1,2012
1541,Marky Mark and the Funky Bunch,1,1992
1542,Janet Jackson,1,1995
1543,Fabolous,2,2003
1544,Rod Stewart,1,1990
1545,LL Cool J,3,1996
1546,Michael Jackson,3,1988
1547,Calvin Harris,2,2012
1548,Aerosmith,1,1998
1549,Zedd,1,2013
1550,OutKast,1,2001
1551,2Pac,1,1995
1552,Breakfast Club,1,1987
1553,Lonestar,1,2001
1554,Neon Trees,1,2011
1555,Al B. Sure!,1,1988
1556,Herb Alpert,1,1987
1557,Quad City DJ's,1,1996
1558,Huey,1,2007
1559,Gloria Estefan,1,1991
1560,Babyface,3,1994
1561,Finger Eleven,1,2004
1562,Wilson Phillips,2,1990
1563,FireHouse,1,1991
1564,Tony! Toni! Tone!,2,1993
1565,Gino Vannelli,1,1981
1566,Lee Ann Womack,1,2000
1567,Faith Hill,2,2000
1568,Corey Hart,1,1985
1569,Gary U.S. Bonds,1,1981
1570,Secondhand Serenade,1,2008
1571,Luke Bryan,1,2014
1572,Tracie Spencer,1,1991
1573,Alabama,1,1982
1574,Kelis,1,2006
1575,Nicole,1,1998
1576,George Benson,1,1980
1577,Real McCoy,1,1997
1578,Travie McCoy,1,2010
1579,Lipps Inc,1,1980
1580,Joe,1,1997
1581,Digable Planets,1,1993
1582,Peter Cetera,1,1986
1583,Vangelis,1,1982
1584,Alicia Keys,1,2002
1585,Jordan Knight,1,1999
1586,Poison,1,1991
1587,Matthew Wilder,1,1984
1588,Domino,1,1994
1589,Rich Boy,1,2007
1590,Imagine Dragons,1,2012
1591,Keyshia Cole,1,2007
1592,Sting,2,1985
1593,Cyndi Lauper,3,1984
1594,Westlife,1,2000
1595,Boys Like Girls,1,2009
1596,Bee Gees,1,1975
1597,Brenda K. Starr,1,1988
1598,Toby Keith,1,2012
1599,Rickie Lee Jones,1,1979
1600,Kris Kross,1,1993
1601,Commodores,1,1980
1602,Celine Dion,1,2000
1603,John Mellencamp,1,1994
1604,Ringo Starr,1,1971
1605,Celine Dion,1,1998
1606,Adam Ant,1,1983
1607,Falco,1,1986
1608,Harry Chapin,1,1975
1609,Seal,1,1995
1610,MC Lyte,1,1997
1611,The Motels,1,1982
1612,Lady Gaga,4,2010
1613,Changing Faces,1,1994
1614,Shalamar,1,1980
1615,Freda Payne,1,1971
1616,Kelly Clarkson,3,2009
1617,Enrique Iglesias,1,1999
1618,Barbra Streisand,2,1977
1619,Mystikal,1,2000
1620,Robin Thicke,1,2014
1621,Mary J. Blige,2,2002
1622,Beverly Bremers,1,1972
1623,Olivia Newton-John,1,1984
1624,Chicago,1,1987
1625,Janet Jackson,3,1986
1626,Johnny Gill,1,1990
1627,Don Henley,2,1985
1628,Tower of Power,1,1973
1629,Firefall,1,1979
1630,Kenny Rogers,1,1984
1631,Dierks Bentley,1,2014
1632,Mötley Crue,1,1990
1633,Bon Jovi,1,1993
1634,Regina,1,1986
1635,Five,1,1998
1636,Kelly Clarkson,3,2005
1637,Eruption,1,1978
1638,Michael W. Smith,1,1991
1639,Tim McGraw,1,2013
1640,Expose,1,1989
1641,Corona,1,1995
1642,Mariah Carey,3,1996
1643,beyonce,1,2011
1644,Maroon 5,1,2005
1645,Chicago,2,1970
1646,Devo,1,1981
1647,James Taylor,1,1975
1648,Belinda Carlisle,1,1986
1649,Frijid Pink,1,1970
1650,Robyn,1,1998
1651,Blaque,1,2000
1652,Warren G,1,1997
1653,Deborah Cox,1,1998
1654,Charles and Eddie,1,1992
1655,Cyndi Lauper,1,1987
1656,Soul II Soul,1,1990
1657,Simon and Garfunkel,2,1970
1658,Moody Blues,1,1986
1659,Celine Dion,2,1997
1660,Lil Wayne,1,2013
1661,Heart,1,1990
1662,Raphael Saadiq,1,1995
1663,Christopher Cross,2,1980
1664,Atlantic Starr,1,1992
1665,The Tony Rich Project,1,1996
1666,,1,1982
1667,Santana,1,2004
1668,Michael Bolton,1,1997
1669,Olivia Newton-John,1,1978
1670,Usher,2,2012
1671,2Pac,1,1993
1672,Staind,1,2001
1673,Train,2,2012
1674,98 Degrees,2,1999
1675,Pablo Cruise,1,1981
1676,Rod Stewart,1,1978
1677,Tavares,1,1975
1678,Laura Branigan,1,1984
1679,Dev,1,2011
1680,Average White Band,2,1975
1681,The Black Eyed Peas,2,2005
1682,Odyssey,1,1978
1683,Junior M.A.F.I.A.,1,1995
1684,Jackson Browne,1,1983
1685,Tears for Fears,1,1993
1686,Plies,1,2007
1687,Pussycat Dolls,1,2009
1688,Billy Vera and the Beaters,1,1987
1689,Atlantic Starr,1,1987
1690,Nelson,1,1991
1691,Goo Goo Dolls,3,1999
1692,Donny Osmond,1,1973
1693,Case,2,1999
1694,Tiffany,1,1987
1695,Lorde,2,2014
1696,'N Sync,2,2000
1697,Al Stewart,1,1977
1698,"Crosby, Stills and Nash",1,1982
1699,Deodato,1,1973
1700,Donny Osmond,1,1989
1701,LMFAO,1,2011
1702,Divinyls,1,1991
1703,Tweet,1,2002
1704,Jewel,1,1999
1705,Zedd,1,2014
1706,Level 42,1,1986
1707,Pink,1,2001
1708,Zac Brown Band,2,2011
1709,Big Mountain,1,1994
1710,Rednex,1,1995
1711,Trillville,1,2005
1712,Dream Academy,1,1986
1713,Ludacris,2,2007
1714,The All-American Rejects,1,2007
1715,Ruben Studdard,1,2003
1716,Clarence Carter,1,1970
1717,Blues Image,1,1970
1718,Aaliyah,2,1994
1719,George Harrison,1,1981
1720,Jesse McCartney,1,2005
1721,Lobo,1,1971
