,artist,count,year
1722,The Poppy Family,1,1970
1723,Jay-Z,2,2009
1724,Chicago,1,1990
1725,Lumidee,1,2003
1726,Pebbles,2,1988
1727,Carrie Underwood,1,2006
1728,Charlie Daniels Band,1,1980
1729,Real McCoy,2,1995
1730,Mokenstef,1,1995
1731,Lady Antebellum,2,2010
1732,Freak Nasty,1,1997
1733,Rod Stewart,1,1989
1734,Sheryl Crow,1,2002
1735,N II U,1,1995
1736,The Escape Club,1,1991
1737,Linear,1,1990
1738,Omarion,1,2007
1739,Twista,2,2004
1740,,1,2010
1741,112,1,2005
1742,Edward Bear,1,1973
1743,Heatwave,2,1978
1744,Cher,1,1974
1745,Next,3,1998
1746,TLC,1,1996
1747,Cher,1,1999
1748,The Guess Who,1,1974
1749,Nelly,2,2001
1750,Iyaz,1,2009
1751,Skid Row,1,1990
1752,The Righteous Brothers,1,1974
1753,Toni Braxton,2,1997
1754,Usher,3,2004
1755,Rockwell,1,1984
1756,Huey Lewis and the News,1,1988
1757,Kanye West,1,2007
1758,The Buoys,1,1971
1759,Anita Baker,1,1989
1760,Coolio,1,1994
1761,Billy Idol,1,1984
1762,Will Smith,1,2005
1763,Usher,1,2008
1764,The Jackson 5,4,1970
1765,Yes,1,1984
1766,Ruben Studdard,1,2004
1767,beyonce,2,2006
1768,Taylor Dayne,1,1993
1769,Shalamar,1,1983
1770,Brick,1,1977
1771,Diana Ross,2,1976
1772,Foreigner,1,1981
1773,Bone Thugs-n-Harmony,1,1997
1774,Natasha Bedingfield,1,2006
1775,Los Lonely Boys,1,2004
1776,Naughty by Nature,1,1991
1777,Mike Reno,1,1984
1778,The Four Seasons,1,1994
1779,Usher,3,2010
1780,Meat Loaf,2,1994
1781,Eddie Murphy,1,1986
1782,The New Seekers,1,1970
1783,The Guess Who,2,1970
1784,Akon,1,2004
1785,Jaheim,1,2003
1786,Foo Fighters,1,2005
1787,Mike Oldfield,1,1974
1788,Pilot,1,1975
1789,Gin Blossoms,1,1996
1790,Ryan Cabrera,1,2004
1791,Coldplay,1,2014
1792,Boyz II Men,4,1995
1793,Clean Bandit,1,2014
1794,Mariah Carey,1,2009
1795,Aretha Franklin,1,1998
1796,Ace,1,1975
1797,Jeremih,1,2014
1798,Eric Clapton,1,1997
1799,Michael Jackson,3,1980
1800,Technotronic,2,1990
1801,P.M. Dawn,1,1993
1802,Monica,1,2004
1803,Bruce Springsteen,1,1987
1804,Shawn Colvin,1,1997
1805,Starship,1,1986
1806,Usher,3,1998
1807,Nas,1,2001
1808,Three 6 Mafia,1,2006
1809,Shania Twain,1,1998
1810,Nicolette Larson,1,1979
1811,Eric Church,1,2012
1812,Collective Soul,1,1996
1813,OneRepublic,1,2013
1814,Ke$ha,2,2011
1815,Olivia Newton-John,1,1979
1816,Mac and Katie Kissoon,1,1971
1817,The Stylistics,1,1973
1818,Fabolous,1,2007
1819,John Michael Montgomery,1,2004
1820,Tim McGraw,1,2003
1821,Leo Sayer,1,1975
1822,Ja Rule,1,2003
1823,Nicki Minaj,1,2010
1824,The Greg Kihn Band,1,1981
1825,Spice Girls,2,1998
1826,Genesis,1,1984
1827,The Chakachas,1,1972
1828,OneRepublic,1,2014
1829,Kris Kross,1,1996
1830,Craig David,1,2002
1831,Whitesnake,1,1987
1832,Wilson Pickett,1,1971
1833,T.I.,1,2007
1834,Mariah Carey,1,2006
1835,Queen,1,1978
1836,Barbra Streisand,1,1979
1837,Ne-Yo,1,2008
1838,B.o.B,1,2012
1839,Bryan Adams,3,1985
1840,Jermaine Stewart,1,1986
1841,Nirvana,1,1992
1842,Lenny Kravitz,1,1999
1843,Robert John,1,1972
1844,Eminem,3,2002
1845,Owl City,1,2009
1846,Air Supply,1,1983
1847,Rod Stewart,1,1977
1848,Big Pun,1,1998
1849,Tom Jones,1,1971
1850,DJ Khaled,1,2011
1851,Mariah Carey,1,2008
1852,Janet,2,2001
1853,Janet Jackson,1,1998
1854,Michael Sembello,1,1983
1855,Jodeci,1,1995
1856,Planet Soul,1,1996
1857,Jane Child,1,1990
1858,Bonnie Raitt,1,1992
1859,Greg Guidry,1,1982
1860,Flo Rida,1,2010
1861,Sir Mix-a-Lot,1,1992
1862,Barry Manilow,1,1979
1863,Information Society,1,1988
1864,Right Said Fred,1,1992
1865,Donny Osmond,2,1971
1866,Kiss,1,1976
1867,Don McLean,2,1972
1868,Luke Bryan,1,2011
1869,Blackstreet,1,1995
1870,Five Man Electrical Band,1,1971
1871,Ashanti,3,2002
1872,Rich Gang,1,2014
1873,Daughtry,1,2009
1874,Winger,1,1991
1875,George Michael,1,1996
1876,Lenny Kravitz,1,2001
1877,Nickelback,2,2009
1878,"10,000 Maniacs",1,1994
1879,Cornelius Brothers and Sister Rose,1,1972
1880,James Taylor,1,1971
1881,Charlie Dore,1,1980
1882,The Staple Singers,1,1972
1883,Puff Daddy,2,1997
1884,Bobby Womack,1,1974
1885,Taylor Swift,1,2012
1886,Captain and Tennille,1,1975
1887,The Calling,1,2002
1888,Juvenile,1,2004
1889,Samantha Sang,1,1978
1890,War,3,1973
1891,The Verve,1,1998
1892,Phillip Phillips,1,2013
1893,Raydio,1,1981
1894,Howard Jones,1,1986
1895,Rick Springfield,1,1984
1896,Dru Hill,1,1999
1897,White Plains,1,1970
1898,Chicago,1,1982
1899,Heart,1,1985
1900,Cheap Trick,2,1988
1901,New Edition,1,1985
1902,The Smashing Pumpkins,1,1996
1903,The Fortunes,1,1971
1904,Bruno Mars,3,2013
1905,Bill Conti,1,1977
1906,Anne Murray,1,1970
1907,John Travolta,1,1976
1908,Technotronic,1,1992
1909,Chairmen of the Board,1,1970
1910,Commodores,1,1982
1911,Kenny Chesney,1,2012
1912,Milli Vanilli,3,1989
1913,Captain and Tennille,2,1976
1914,Creed,2,2002
1915,Trey Songz,1,2012
1916,MC Lyte,1,1996
1917,Nick Cannon,1,2004
1918,Barbra Streisand,1,1974
1919,Ying Yang Twins,1,2004
1920,Mac Davis,1,1974
1921,Pink Floyd,1,1973
1922,Donna Fargo,1,1973
1923,Vanilla Ice,1,1991
1924,Edie Brickell and New Bohemians,1,1989
1925,Meat Loaf,1,1978
1926,Chumbawamba,1,1997
1927,Fall Out Boy,2,2007
1928,En Vogue,1,1993
1929,Dru Hill,2,1998
1930,Frankie Valli,1,1978
1931,will.i.am,2,2013
1932,Franke and the Knockouts,1,1981
1933,Al Stewart,1,1979
1934,Natalie Cole,1,1989
1935,Bill Medley,1,1987
1936,Elton John,1,1977
1937,Sheila E.,1,1984
1938,John Legend,1,2014
1939,Sinead O'Connor,1,1990
1940,Daniel Bedingfield,1,2003
1941,Judy Collins,1,1971
1942,The Fuzz,1,1971
1943,McFadden and Whitehead,1,1979
1944,Laura Branigan,1,1982
1945,John Legend,1,2005
1946,Heavy D,1,1997
1947,LL Cool J,1,1991
1948,Ruff Endz,1,2000
1949,Aerosmith,1,1988
1950,Blues Traveler,1,1996
1951,Christina Aguilera,3,2003
1952,Lady Gaga,3,2011
1953,Tom T. Hall,1,1974
1954,The Jackson 5,2,1971
1955,Anita Baker,1,1986
1956,Tyrone Davis,1,1970
1957,B.J. Thomas,1,1977
1958,Kelis,1,2004
1959,Bonnie Raitt,1,1991
1960,B.B. King,1,1970
1961,Dream,1,2001
1962,Shania Twain,3,1999
1963,Missy Elliott,1,2002
1964,Shocking Blue,1,1970
1965,The Floaters,1,1977
1966,Patrick Hernandez,1,1979
1967,Player,2,1978
1968,Loggins and Messina,1,1973
1969,Michael Jackson,1,2002
1970,Far East Movement,2,2011
1971,George Michael,5,1988
1972,Christopher Cross,1,1984
1973,Peter Brown,1,1978
1974,Sheena Easton,1,1989
1975,Hi-Five,1,1992
1976,Rick Ross,1,2008
1977,The All-American Rejects,2,2006
1978,Mark Chesnutt,1,1999
1979,Wings,1,1975
1980,Natasha Bedingfield,1,2005
1981,Neil Diamond,1,1980
1982,Ohio Players,2,1976
1983,Bob Seger and the Silver Bullet Band,1,1980
1984,Billy Preston,1,1974
1985,Trick Daddy,1,2005
1986,Nelly,2,2002
1987,Eric Clapton,1,1979
1988,Expose,1,1988
1989,Lionel Richie,3,1983
1990,Paula Abdul,1,1992
1991,Swing Out Sister,1,1987
1992,Diana Ross,2,1982
1993,Ray J,1,2006
1994,'N Sync,2,1999
1995,Hunter Hayes,2,2013
1996,Janis Joplin,1,1971
1997,Stevie Wonder,1,1985
1998,Britney Spears,2,2000
1999,Sammi Smith,1,1971
2000,John Mellencamp,1,1996
2001,Bone Thugs-n-Harmony,1,1996
2002,Cutting Crew,2,1987
2003,Kevin Lyttle,1,2004
2004,Shakira,1,2009
2005,Aaliyah,1,1998
2006,American Authors,1,2014
2007,R. Kelly,2,2001
2008,Natalie Cole,1,1988
2009,Samantha Fox,1,1989
2010,Jason Derulo,1,2011
2011,Elton John,2,1976
2012,Peter Schilling,1,1984
2013,Fantasia,1,2005
2014,Drake,2,2010
2015,Lindsey Buckingham,1,1982
2016,Usher,2,2011
2017,Madonna,1,1995
2018,Kool and the Gang,1,1984
2019,Gordon Lightfoot,1,1974
2020,Johnny Hates Jazz,1,1988
2021,Enigma,1,1991
2022,Stephen Bishop,1,1983
2023,Free,1,1970
2024,Ready for the World,1,1985
2025,George Benson,1,1982
2026,LMFAO,1,2012
2027,Dixie Chicks,1,2003
2028,Bob Seger and The Silver Bullet Band,1,1977
2029,Lloyd Banks,1,2004
2030,Hall and Oates,1,1977
2031,George Michael,1,1991
2032,Marc Anthony,1,1999
2033,The Pointer Sisters,1,1982
2034,Weezer,1,2005
2035,John Cougar Mellencamp,1,1984
2036,T-Pain,2,2006
2037,Kool and the Gang,2,1980
2038,T.I.,2,2005
2039,ABBA,2,1977
2040,Dan Hartman,1,1984
2041,Stacey Q,1,1986
2042,Rod Stewart,1,1981
2043,R. Kelly,2,1999
2044,Kansas,1,1978
2045,Toto,1,1986
2046,David Lee Roth,1,1985
2047,Robbie Dupree,1,1980
2048,Ellie Goulding,1,2014
2049,One Direction,1,2012
2050,Trey Songz,1,2008
2051,Sting,2,1993
2052,Becky G,1,2014
2053,Musiq Soulchild,1,2002
2054,Hot,1,1977
2055,New Boyz,1,2011
2056,Kelly Clarkson,2,2006
2057,Usher,1,2001
2058,Dazz Band,1,1982
2059,Bryan Adams,1,1987
2060,Karla Bonoff,1,1982
2061,Carole King,1,1971
2062,Go West,1,1990
2063,2 Chainz,1,2012
2064,Ratt,1,1984
2065,Taylor Swift,1,2011
2066,Paper Lace,1,1974
2067,Night Ranger,2,1984
2068,Rihanna,3,2008
2069,Lisa Lisa and Cult Jam,2,1987
2070,Jewel,1,2002
2071,Aretha Franklin,1,1972
2072,Johnny Nash,1,1972
2073,Trace Adkins,1,2008
2074,Kenny Rogers,1,1977
2075,Duran Duran,1,1987
2076,Mariah Carey,1,2001
2077,Naked Eyes,2,1983
2078,Deee-Lite,1,1991
2079,Teri DeSario,1,1980
2080,Backstreet Boys,1,2005
2081,Paul Young,1,1985
2082,City High,1,2002
2083,Nickelback,1,2005
2084,Gym Class Heroes,2,2012
2085,Aqua,1,1997
2086,The Bangles,1,1988
2087,Michael Bolton,3,1990
2088,Tom Petty and the Heartbreakers,1,1994
2089,Finger Eleven,1,2007
2090,Shakira,1,2006
2091,Stevie Wonder,1,1980
2092,Glen Campbell,1,1970
2093,Joe,1,1996
2094,Taylor Swift,2,2013
2095,Akon,1,2005
2096,soulDecision,1,2000
2097,S Club 7,1,2001
2098,The Stylistics,1,1972
2099,Al Wilson,1,1974
2100,Janis Ian,1,1975
2101,Boyz II Men,3,1992
2102,REO Speedwagon,2,1981
2103,La Bouche,2,1996
2104,Peaches and Herb,2,1979
2105,Sunshine Anderson,1,2001
2106,Scarface,1,1997
2107,Lady Antebellum,1,2013
2108,The Partridge Family,2,1971
2109,Timbaland,1,2008
2110,The O'Jays,1,1978
2111,Bad Company,1,1979
2112,Bastille,1,2014
2113,The Game,1,2008
2114,Sean Paul,1,2004
2115,Madonna,1,1996
2116,Fergie,2,2007
2117,Mario,1,2002
2118,Wang Chung,1,1984
2119,The Cranberries,1,1997
2120,Jo Dee Messina,1,2000
2121,Natalie Cole,1,1977
2122,Faith Evans,2,1999
2123,America,2,1975
2124,Eddie Money,1,1989
2125,Barry Manilow,1,1980
2126,Chris Brown,2,2012
2127,Matchbox Twenty,1,2003
2128,Eminem,1,2014
2129,'Til Tuesday,1,1985
2130,Immature,1,1994
2131,Timex Social Club,1,1986
2132,Eric Clapton,1,1981
2133,Dr. John,1,1973
2134,D Mob,1,1990
2135,Roxette,2,1991
2136,Bruce Willis,1,1987
2137,A Great Big World,1,2014
2138,Nico and Vinz,1,2014
2139,Dirty Vegas,1,2002
2140,Silver,1,1976
2141,Luther Vandross,1,1992
2142,Bill Withers,2,1972
2143,Thompson Twins,1,1985
2144,Joe,1,2000
2145,The Bangles,2,1989
2146,Ian Matthews,1,1979
2147,Elvis Presley,1,1972
2148,Power Station,1,1985
2149,Britney Spears,3,2011
2150,Timbaland,2,2007
2151,Chicago,1,1984
2152,David Archuleta,1,2008
2153,Julian Lennon,2,1985
2154,Frida,1,1983
2155,Jason Aldean,1,2009
2156,Donna Lewis,1,1997
2157,John Schneider,1,1981
2158,REO Speedwagon,1,1985
2159,Mike + The Mechanics,1,1989
2160,Joey Lawrence,1,1993
2161,Dobie Gray,1,1973
2162,Janet Jackson,2,1994
2163,Spin Doctors,1,1993
2164,Journey,2,1982
2165,Train,1,2000
2166,M,1,1980
2167,Ashanti,2,2003
2168,The Fray,2,2006
2169,Neil Young,1,1972
2170,Elton John,2,1988
2171,Culture Club,3,1983
2172,Peabo Bryson,1,1983
2173,Wham!,1,1986
2174,Keith Sweat,1,1992
2175,Neneh Cherry,1,1989
2176,B2K,1,2003
2177,Brian McKnight,1,1993
2178,Andy Gibb,3,1978
2179,Outkast,1,2001
2180,Jade,2,1993
2181,Avril Lavigne,1,2011
2182,The Red Jumpsuit Apparatus,1,2007
2183,Van Halen,1,1995
2184,Eve 6,1,2001
2185,Electric Light Orchestra,2,1977
2186,Florida Georgia Line,2,2014
2187,John Cougar,1,1981
2188,Eddy Grant,1,1983
2189,Jean Knight,1,1971
2190,Amy Grant,2,1991
2191,C.J. and Company,1,1977
2192,No Doubt,1,2004
2193,Nine Days,1,2000
2194,Culture Club,3,1984
2195,Thompson Twins,1,1984
2196,The O'Jays,1,1972
2197,Captain and Tennille,1,1980
2198,Expose,3,1987
2199,69 Boyz,1,1994
2200,Sammy Hagar,1,1983
2201,KONGOS,1,2014
2202,Tim McGraw,1,2004
2203,Erick Sermon,1,2001
2204,The Marshall Tucker Band,1,1977
2205,Seals and Crofts,1,1973
2206,Perry Como,1,1971
2207,Marcy Playground,1,1998
2208,Missy Elliott,1,1998
2209,Stevie Wonder,1,1984
2210,LFO,1,1999
2211,Miley Cyrus,1,2010
2212,Norman Greenbaum,1,1970
2213,Will to Power,1,1991
2214,Bob Welch,2,1978
2215,Len,1,1999
2216,New Edition,1,1996
2217,Annie Lennox,1,1995
2218,Blink 182,1,2000
2219,Groove Theory,1,1995
2220,The Pointer Sisters,1,1984
2221,Lil Wayne,1,2010
2222,Lady Antebellum,1,2011
2223,The Sylvers,2,1977
2224,Paul Simon,1,1976
2225,Enrique Iglesias,1,2001
2226,Erykah Badu,1,2003
2227,Pink,1,2000
2228,Michael Jackson,1,2014
2229,Wadsworth Mansion,1,1971
2230,Major Harris,1,1975
2231,OneRepublic,2,2010
2232,Janet Jackson,2,1987
2233,Surface,1,1991
2234,Harold Melvin and the Blue Notes,1,1976
2235,A Taste of Honey,1,1978
2236,Jessica Andrews,1,2001
2237,Phil Collins,1,1988
2238,Fall Out Boy,1,2013
2239,Eric Clapton,1,1983
2240,Cascada,1,2006
2241,Paul Simon,1,1972
2242,Michael Damian,1,1989
2243,J-Kwon,1,2004
2244,Elton John,2,1984
2245,The Cure,1,1992
2246,The Dirt Band,1,1980
2247,Gloria Estefan and Miami Sound Machine,1,1987
2248,Go West,1,1993
2249,Samantha Fox,1,1987
2250,Tara Kemp,2,1991
2251,Eve,1,2001
2252,Alicia Bridges,1,1978
2253,Elton John,2,1973
2254,Alan Jackson,1,2004
2255,Queen,1,1980
2256,Ludacris,1,2001
2257,Ricky Nelson,1,1972
2258,The Doobie Brothers,1,1973
2259,Alive N Kickin',1,1970
2260,The Who,1,1971
2261,Color Me Badd,3,1992
2262,Destiny's Child,2,2001
2263,Styx,1,1975
2264,The Pretenders,1,1995
2265,Brooke Valentine,1,2005
2266,Ca$h Out,1,2012
2267,Eden's Crush,1,2001
2268,Boston,1,1986
2269,Billy Idol,1,1990
2270,Justin Timberlake,1,2002
2271,Mims,1,2007
2272,James Blunt,1,2006
2273,Puddle of Mudd,1,2003
2274,Hall and Oates,1,1980
2275,Whitney Houston,3,1993
2276,Red Hot Chili Peppers,1,1992
2277,Soul II Soul,1,1989
2278,The Carpenters,2,1975
2279,Mary Mary,1,2000
2280,John Denver,2,1974
2281,The Manhattan Transfer,1,1981
2282,Robyn,1,1997
2283,Foreigner,1,1985
2284,Simply Red,1,1989
2285,U2,1,1988
2286,Hurricane Smith,1,1973
2287,Joe Simon,2,1972
2288,Pink,1,2006
2289,Jim Stafford,3,1974
2290,Linkin Park,1,2002
2291,Santana,1,2008
2292,Imagine Dragons,1,2013
2293,Kelly Clarkson,1,2013
2294,Eric Clapton,1,1978
2295,The Black Eyed Peas,1,2003
2296,Dr. Hook,2,1980
2297,LeAnn Rimes,1,2002
2298,Taio Cruz,1,2010
2299,Tom Petty and the Heartbreakers,1,1983
2300,"Earth, Wind and Fire",1,1983
2301,Nickelback,1,2002
2302,Tiffany,1,1989
2303,Neil Diamond,1,1982
2304,David Bowie,1,1973
2305,Haddaway,1,1994
2306,Nu Shooz,1,1986
2307,Jagged Edge,2,2001
2308,Wings,2,1976
2309,Webbie,1,2005
2310,Mel and Tim,1,1972
2311,Crystal Waters,1,1995
2312,fun.,2,2013
2313,Gotye,1,2012
2314,Vertical Horizon,1,2000
2315,Train,1,2001
2316,Monica,2,1996
2317,Aerosmith,2,1994
2318,Guns N' Roses,3,1989
2319,Fleetwood Mac,2,1987
2320,Third Eye Blind,1,2000
2321,Us3,1,1994
2322,Danity Kane,1,2006
2323,Orleans,1,1975
2324,Black Box,1,1991
2325,Elton John,1,1972
2326,Roberta Flack,1,1974
2327,Chesney Hawkes,1,1991
2328,Tina Turner,3,1985
2329,Ciara,1,2004
2330,Neil,1,1980
2331,Dire Straits,1,1986
2332,Eagles,1,1976
2333,Musical Youth,1,1983
2334,Jimmy Buffett,1,1977
2335,Bryan Adams,2,1992
2336,Paul McCartney,2,1982
2337,3 Doors Down,1,2008
2338,Hellogoodbye,1,2007
2339,Lifehouse,1,2007
2340,Eurythmics,1,1985
2341,Kelly Clarkson,1,2003
2342,The Jacksons,1,1977
2343,Pitbull,2,2012
2344,Richard Marx,2,1989
2345,Somethin' for the People,1,1998
2346,The Undisputed Truth,1,1971
2347,All Saints,1,1998
2348,AZ,1,1995
2349,Daryl Hall,1,1986
2350,Steve Forbert,1,1980
2351,DJ Kool,1,1997
2352,Foxy,1,1978
2353,Delaney and Bonnie,1,1971
2354,Portrait,1,1993
2355,MFSB,1,1974
2356,Angie Martinez,1,2002
2357,G-Unit,1,2004
2358,Crucial Conflict,1,1996
2359,Jibbs,1,2006
2360,SWV,1,1996
2361,Bobby Vinton,1,1972
2362,Usher,1,1997
2363,Linda Ronstadt,2,1978
2364,Lenny Kravitz,1,1991
2365,Frank Stallone,1,1983
2366,Backstreet Boys,2,1999
2367,Jonathan Edwards,1,1972
2368,Carole King,1,1980
2369,Christina Perri,1,2011
2370,Destiny's Child,1,1998
2371,Anna Kendrick,1,2013
2372,Naughty by Nature,1,1995
2373,Supertramp,1,1980
2374,Nelly Furtado,1,2006
2375,Sammie,1,2000
2376,Blake Shelton,2,2013
2377,The Isley Brothers,1,1975
2378,Leona Lewis,2,2008
2379,Fat Joe,1,2007
2380,Rascal Flatts,2,2006
2381,Diana Ross,1,1970
2382,Def Leppard,1,1993
2383,The Kinks,1,1970
2384,Glass Tiger,1,1986
2385,Lonestar,1,2000
2386,Voices of Theory,1,1998
2387,Thompson Twins,1,1986
2388,Billy Joel,3,1984
2389,Ugly Kid Joe,1,1993
2390,Train,1,2010
2391,Kanye West,1,2012
2392,Oasis,1,1996
2393,Stars on 45,1,1981
2394,Faith Evans,1,1996
2395,Jud Strunk,1,1973
2396,Freddy Fender,2,1975
2397,Rare Earth,1,1971
2398,Alanis Morissette,1,2002
2399,Nicki Minaj,2,2011
2400,Keith Urban,1,2004
2401,Justin Bieber,1,2009
2402,Uncle Kracker,1,2001
2403,beyonce,2,2014
2404,Eminem,1,2005
2405,Danity Kane,1,2008
2406,Chuck Berry,1,1972
2407,Billy Joel,1,1993
2408,Ricky Martin,1,2001
2409,Diana Ross,3,1981
2410,Trapt,1,2003
2411,Bonnie Tyler,1,1983
2412,50 Cent,1,2007
2413,Electric Light Orchestra,1,1975
2414,The Verve Pipe,1,1997
2415,The Stylistics,2,1974
2416,Johnny Nash,1,1973
2417,Julio Iglesias,1,1984
2418,Andrea True Connection,1,1976
2419,Billy Joel,2,1980
2420,ABBA,1,1974
2421,The Go-Go's,1,1984
2422,Gladys Knight and the Pips,3,1974
2423,Salt-n-Pepa,1,1991
2424,TLC,2,1999
2425,Flo Rida,1,2013
2426,Londonbeat,1,1991
2427,The Spinners,1,1974
2428,The Blackbyrds,1,1975
2429,Restless Heart,1,1993
2430,Lobo,1,1973
2431,Neil Sedaka,2,1975
2432,Climax,1,1972
2433,Cher,1,1973
2434,R.E.M.,2,1991
2435,Montell Jordan,1,1995
2436,Stray Cats,2,1983
2437,Kelly Price,1,1998
2438,Pete Townshend,1,1980
2439,Pablo Cruise,1,1978
2440,Toto,1,1982
2441,Helen Reddy,2,1974
2442,LL Cool J,1,2004
2443,Field Mob,1,2003
2444,YG,1,2014
2445,Linda Ronstadt,1,1979
2446,Gloria Gaynor,1,1975
2447,Seals and Crofts,1,1976
2448,Aretha Franklin,2,1971
2449,Ugly Kid Joe,1,1992
2450,The Isley Brothers,1,1972
2451,Men at Work,1,1982
2452,Suzanne Vega,1,1987
2453,Edward Maya,1,2011
2454,Paul McCartney,1,1980
2455,Paula Cole,1,1998
2456,Elton John,1,1979
2457,Dru Hill,2,1997
2458,Martin Garrix,1,2014
2459,Elton John,1,1983
2460,Jermaine Jackson,1,1973
2461,The Jets,2,1987
2462,Ice Cube,2,1993
2463,DeBarge,2,1985
2464,Climax Blues Band,1,1981
2465,Onyx,1,1993
2466,Prince,1,1986
2467,Juelz Santana,1,2006
2468,Keri Hilson,1,2011
2469,Linkin Park,1,2008
2470,John Legend,1,2009
2471,Roxette,2,1990
2472,John Denver,1,1973
2473,Sam Hunt,1,2014
2474,Monica,1,1995
2475,Supertramp,1,1977
2476,Dire Straits,1,1979
2477,Pat Benatar,1,1985
2478,Shontelle,1,2010
2479,Breathe,1,1988
2480,Queensrÿche,1,1991
2481,J.D. Souther,1,1980
2482,Benny Mardones,1,1980
2483,David Soul,1,1977
2484,beyonce,3,2004
2485,L.T.D.,1,1978
2486,Cher,1,1988
2487,Poison,1,1988
2488,Dan Fogelberg,1,1980
2489,Madonna,1,1990
2490,Thomas Rhett,1,2013
2491,Nelly Furtado,1,2002
2492,Pussycat Dolls,3,2006
2493,The B-52s,2,1990
2494,The Detroit Emeralds,1,1972
2495,Diana Ross,1,1973
2496,Stevie Wonder,1,1986
2497,Boz Scaggs,1,1976
2498,Echosmith,1,2014
2499,Alice Cooper,1,1975
2500,DeBarge,1,1984
2501,Commodores,1,1976
2502,Murray Head,1,1985
2503,Michael Martin Murphey,1,1975
2504,Ralph Tresvant,1,1991
2505,Ed Sheeran,2,2014
2506,Shannon,1,1984
2507,Lil' Kim,2,1997
2508,King Harvest,1,1973
2509,Helen Reddy,2,1973
2510,Survivor,1,1982
2511,Sarah McLachlan,2,1999
2512,Sheila E.,1,1986
2513,Belinda Carlisle,2,1988
2514,Jade,1,1992
2515,Paramore,1,2010
2516,Foreigner,2,1988
2517,Hot Chocolate,1,1976
2518,Public Announcement,1,1998
2519,DJ Khaled,1,2010
2520,KC and the Sunshine Band,1,1975
2521,Hoobastank,1,2004
2522,Kenny Rogers,2,1981
2523,Roberta Flack,2,1972
2524,Fleetwood Mac,2,1980
2525,City High,1,2001
2526,John Mayer,1,2002
2527,Adam Clayton,1,1996
2528,Jewel,1,2003
2529,Capital Cities,1,2013
2530,Green Jellÿ,1,1993
2531,Kirko Bangz,1,2012
2532,Johnny Bristol,1,1974
2533,The Cranberries,1,1994
2534,Sanford-Townsend Band,1,1977
2535,Styx,2,1983
2536,Wilson Phillips,2,1991
2537,Mike Post,1,1975
2538,Kendrick Lamar,1,2013
2539,Brewer and Shipley,1,1971
2540,Britney Spears,2,2008
2541,Zhane,1,1993
2542,Eddie Kendricks,1,1973
2543,Shakira,1,2014
2544,B.o.B,3,2010
2545,Carly Simon,1,1972
2546,Meghan Trainor,1,2014
2547,Whitney Houston,2,1985
2548,Nick Lachey,1,2006
2549,Puddle of Mudd,1,2002
2550,Roger Voudouris,1,1979
2551,Mark Lindsay,1,1970
2552,The Hillside Singers,1,1972
2553,Rihanna,1,2009
2554,Barenaked Ladies,1,1998
2555,Parliament,1,1976
2556,Klymaxx,1,1986
2557,Survivor,1,1987
2558,Bette Midler,1,1989
2559,Heatwave,1,1977
2560,Jon Secada,2,1993
2561,Charles Wright and the Watts 103rd Street Rhythm Band,2,1970
2562,EMF,1,1991
2563,Grand Funk Railroad,1,1975
2564,Rodney Atkins,1,2011
2565,Jim Jones,1,2009
2566,The Friends of Distinction,1,1970
